sheet,column,gap_status,confidence,candidate_current_tables,candidate_any_schema,rationale
Adjustments Body,Cost Centre,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_ItemBody_Table.CostCentre; Transaction_Payments_Table.CostCentre,AssetSale_AdjustmentsBody_Table.CostCentre; AssetSale_ItemBody_Table.CostCentre; AssetStockLedger_Table.CostCentre; BudgetDetails_Table.CostCentre; deleteddutydrawback.CostCentre; ledbak2118.CostCentre; Ledger_Table.CostCentre; LedgerAccErr.CostCentre; obbca.CostCentre; obstodelete.CostCentre; PreviousYear_POSSales_Table.CostCentre; StockLedger_Table.CostCentre,Exact/alias match exists in currently integrated ERP tables.
Adjustments Body,Comments1,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_ItemBody_Table.Comments1; Transaction_Payments_Table.Comments1,AdvanceLicenseDetails_Table.Comments1; AssetAllotmentDetails_Table.Comments1; AssetSale_AdjustmentsBody_Table.Comments1; AssetSale_ItemBody_Table.Comments1; ConsumablesIssuebody_table.Comments1; CoverNoteItemDetails_Table.Comments1; deleteddutydrawback.Comments1; DeliveryPackingListDetails_Table.Comments1; Enquiry_EnquiredProducts_Table.Comments1; EPCGLicenseDetails_Table.Comments1; FillingStationCreditBill_Body_Table.Comments1; FillingStationSummaryBill_Body_Table.Comments1,Exact/alias match exists in currently integrated ERP tables.
Adjustments Body,Comments2,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_ItemBody_Table.Comments2; Transaction_Payments_Table.Comments2,AdvanceLicenseDetails_Table.Comments2; AssetAllotmentDetails_Table.Comments2; AssetSale_AdjustmentsBody_Table.Comments2; AssetSale_ItemBody_Table.Comments2; ConsumablesIssuebody_table.Comments2; CoverNoteItemDetails_Table.Comments2; deleteddutydrawback.Comments2; DeliveryPackingListDetails_Table.Comments2; Enquiry_EnquiredProducts_Table.Comments2; EPCGLicenseDetails_Table.Comments2; FillingStationCreditBill_Body_Table.Comments2; FillingStationSummaryBill_Body_Table.Comments2,Exact/alias match exists in currently integrated ERP tables.
Adjustments Body,Comments3,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_ItemBody_Table.Comments3; Transaction_Payments_Table.Comments3,AdvanceLicenseDetails_Table.Comments3; AssetAllotmentDetails_Table.Comments3; AssetSale_AdjustmentsBody_Table.Comments3; AssetSale_ItemBody_Table.Comments3; ConsumablesIssuebody_table.Comments3; CoverNoteItemDetails_Table.Comments3; deleteddutydrawback.Comments3; DeliveryPackingListDetails_Table.Comments3; Enquiry_EnquiredProducts_Table.Comments3; EPCGLicenseDetails_Table.Comments3; FillingStationCreditBill_Body_Table.Comments3; FillingStationSummaryBill_Body_Table.Comments3,Exact/alias match exists in currently integrated ERP tables.
Adjustments Body,Comments4,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_ItemBody_Table.Comments4; Transaction_Payments_Table.Comments4,AdvanceLicenseDetails_Table.Comments4; AssetAllotmentDetails_Table.Comments4; AssetSale_AdjustmentsBody_Table.Comments4; AssetSale_ItemBody_Table.Comments4; CoverNoteItemDetails_Table.Comments4; deleteddutydrawback.Comments4; DeliveryPackingListDetails_Table.Comments4; Enquiry_EnquiredProducts_Table.Comments4; EPCGLicenseDetails_Table.Comments4; FillingStationCreditBill_Body_Table.Comments4; FillingStationSummaryBill_Body_Table.Comments4; ledbak2118.Comments4,Exact/alias match exists in currently integrated ERP tables.
Adjustments Body,Comments5,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_ItemBody_Table.Comments5; Transaction_Payments_Table.Comments5,AdvanceLicenseDetails_Table.Comments5; AssetAllotmentDetails_Table.Comments5; AssetSale_AdjustmentsBody_Table.Comments5; AssetSale_ItemBody_Table.Comments5; CoverNoteItemDetails_Table.Comments5; deleteddutydrawback.Comments5; DeliveryPackingListDetails_Table.Comments5; Enquiry_EnquiredProducts_Table.Comments5; EPCGLicenseDetails_Table.Comments5; FillingStationCreditBill_Body_Table.Comments5; FillingStationSummaryBill_Body_Table.Comments5; ledbak2118.Comments5,Exact/alias match exists in currently integrated ERP tables.
Adjustments Body,IGSTRate,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_ItemBody_Table.IGSTRate; Transaction_Payments_Table.IGSTRate,CoverNoteItemDetails_Table.IGSTRate; PreviousYear_POSSales_Table.IGSTRate; SaudaItemDetails_Table.IGSTRate; ServiceBooking_ItemBody_Table.IGSTRate; ServiceBooking_LabourChargesBody_Table.IGSTRate; Transaction_Adjustments_Table.IGSTRate; Transaction_BodyTaxes_Table.IGSTRate; Transaction_ItemBody_Table.IGSTRate; Transaction_ItemBody1_Table.IGSTRate; Transaction_Payments_Table.IGSTRate; Transaction_ReturnItemBody_Table.IGSTRate,Exact/alias match exists in currently integrated ERP tables.
Adjustments Body,CGSTRate,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_ItemBody_Table.CGSTRate; Transaction_Payments_Table.CGSTRate,CoverNoteItemDetails_Table.CGSTRate; PreviousYear_POSSales_Table.CGSTRate; SaudaItemDetails_Table.CGSTRate; ServiceBooking_ItemBody_Table.CGSTRate; ServiceBooking_LabourChargesBody_Table.CGSTRate; Transaction_Adjustments_Table.CGSTRate; Transaction_BodyTaxes_Table.CGSTRate; Transaction_ItemBody_Table.CGSTRate; Transaction_ItemBody1_Table.CGSTRate; Transaction_Payments_Table.CGSTRate; Transaction_ReturnItemBody_Table.CGSTRate,Exact/alias match exists in currently integrated ERP tables.
Adjustments Body,SGSTRate,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_ItemBody_Table.SGSTRate; Transaction_Payments_Table.SGSTRate,CoverNoteItemDetails_Table.SGSTRate; PreviousYear_POSSales_Table.SGSTRate; SaudaItemDetails_Table.SGSTRate; ServiceBooking_ItemBody_Table.SGSTRate; ServiceBooking_LabourChargesBody_Table.SGSTRate; Transaction_Adjustments_Table.SGSTRate; Transaction_BodyTaxes_Table.SGSTRate; Transaction_ItemBody_Table.SGSTRate; Transaction_ItemBody1_Table.SGSTRate; Transaction_Payments_Table.SGSTRate; Transaction_ReturnItemBody_Table.SGSTRate,Exact/alias match exists in currently integrated ERP tables.
Adjustments Body,ADDIGST,FILLABLE_WITH_SCHEMA_EXTENSIONS,MEDIUM,,Transaction_Adjustments_Table.AddIGST,Match exists in script.sql but outside current connector table scope.
Adjustments Body,ADDCGST,FILLABLE_WITH_SCHEMA_EXTENSIONS,MEDIUM,,Transaction_Adjustments_Table.AddCGST,Match exists in script.sql but outside current connector table scope.
Adjustments Body,ADDSGST,FILLABLE_WITH_SCHEMA_EXTENSIONS,MEDIUM,,Transaction_Adjustments_Table.AddSGST,Match exists in script.sql but outside current connector table scope.
Adjustments Body,LessIGST,FILLABLE_WITH_SCHEMA_EXTENSIONS,MEDIUM,,Transaction_Adjustments_Table.LessIGST,Match exists in script.sql but outside current connector table scope.
Adjustments Body,LessCGST,FILLABLE_WITH_SCHEMA_EXTENSIONS,MEDIUM,,Transaction_Adjustments_Table.LessCGST,Match exists in script.sql but outside current connector table scope.
Adjustments Body,LessSGST,FILLABLE_WITH_SCHEMA_EXTENSIONS,MEDIUM,,Transaction_Adjustments_Table.LessSGST,Match exists in script.sql but outside current connector table scope.
Payments Body,Sno,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Master_MasterCodes_Table.VoucherLineNo; Master_RegistrationDetails_Table.VoucherLineNo; Master_Table.VoucherLineNo; Transaction_Header_Table.VoucherLineNo; Transaction_ItemBody_Table.VoucherLineNo; Transaction_Payments_Table.VoucherLineNo,OpeningUnClearedCheques.Sno; recbleforemail.Sno; Sheet$.S No; StockBalances2023.S No; StockBalances2023.SNO; temp_adjbills.SNO; temp_adjbillspay.SNO; temp_bcd_table.Sno; TempAllocatedDetailsBody_Table.Sno; tempsproduct.Sno; AcadamicYearDetails_Table.VoucherLineNo; Account_AccountGroup_Table.VoucherLineNo,Exact/alias match exists in currently integrated ERP tables.
Payments Body,Payment Method,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Payments_Table.PaymentMethod,AssetSale_PaymentsBody_Table.PaymentMethod; FeeReceivedDiscountDetails_table.PaymentMethod; Transaction_NonInventoryBody.PaymentMethod; Transaction_Payments_Table.PaymentMethod; Transaction_PDC_Table.PaymentMethod,Exact/alias match exists in currently integrated ERP tables.
Payments Body,Cash/Bank Account,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Payments_Table.PaymentAccount,AssetSale_PaymentsBody_Table.CashBankAccount; FeeReceivedDiscountDetails_table.PaymentAccount; RoomAdditionalAdvanceDetails_Table.PaymentAccount; RoomCheckinDetails_Table.PaymentAccount; RoomReservationDetails_Table.PaymentAccount; Transaction_Payments_Table.PaymentAccount; Transaction_PDC_Table.PaymentAccount,Exact/alias match exists in currently integrated ERP tables.
Payments Body,Amount,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,EFIMRDetailsTable.AMOUNT; Transaction_Payments_Table.Amount,ApplicationDetails_Table.Amount; Assets_ComponentDetails_Table.Amount; AssetSale_PaymentsBody_Table.Amount; BillwiseSalesManCommission_Table.Amount; BudgetDetails_Table.Amount; Class_FeeBody_Table.Amount; ConsumablesIssuebody_table.Amount; Diagnos_InvestigationReceiptDetails_Table.Amount; EFIMRDetailsTable.AMOUNT; EmployeeAdhocComponentDetails_Table.Amount; EmployeePayslipDetails_Table.Amount; FeeReceivableDetails_table.Amount,Exact/alias match exists in currently integrated ERP tables.
Payments Body,Instrument Type,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Payments_Table.InstrumentType,AssetSale_PaymentsBody_Table.InstrumentType; Transaction_Payments_Table.InstrumentType; Transaction_PDC_Table.InstrumentType,Exact/alias match exists in currently integrated ERP tables.
Payments Body,Instrument No,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Payments_Table.InstrumentNo,AssetSale_PaymentsBody_Table.InstrumentNo; ChequeStatusDetails_Table.InstrumentNo; OpeningUnClearedCheques.InstrumentNo; TenderDocuments_DocumentDetails_Table.InstrumentNo; Transaction_Payments_Table.InstrumentNo; Transaction_PDC_Table.InstrumentNo,Exact/alias match exists in currently integrated ERP tables.
Payments Body,Instrument Date,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Payments_Table.InstrumentDate,AssetSale_PaymentsBody_Table.InstrumentDate; ChequeStatusDetails_Table.InstrumentDate; OpeningUnClearedCheques.InstrumentDate; Transaction_Payments_Table.InstrumentDate; Transaction_PDC_Table.InstrumentDate,Exact/alias match exists in currently integrated ERP tables.
Payments Body,Instrument Details,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Payments_Table.InstrumentDetails,AssetSale_PaymentsBody_Table.InstrumentDetails; OpeningUnClearedCheques.InstrumentDetails; Transaction_Payments_Table.InstrumentDetails; Transaction_PDC_Table.InstrumentDetails,Exact/alias match exists in currently integrated ERP tables.
Reference,Ref VoucherSeries,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Header_Table.ReferenceVoucherSeries,AssetSale_Reference_Table.RefVoucherSeries; BillWiseBalances2020.ReferenceVoucherSeries; billwiseOpeningBalances.ReferenceVoucherSeries; LastYearCreditorBalances.ReferenceVoucherSeries; PreviousYear_POSPartyDetails_Table.ReferenceVoucherSeries; temp_adjbillspay.ReferenceVoucherSeries; Transaction_Header_Table.ReferenceVoucherSeries,Exact/alias match exists in currently integrated ERP tables.
Other Info,Other Info1,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Header_Table.OtherInfo1,AssetSale_OtherInfo_Table.OtherInfo1; ClosingReading_OtherInfo_Table.OtherInfo1; Master_PersonalInfo_Table.OtherInfo1; OpeningReading_OtherInfo_Table.OtherInfo1; PreviousYear_POSPartyDetails_Table.OtherInfo1; Transaction_Header_Table.OtherInfo1,Exact/alias match exists in currently integrated ERP tables.
Other Info,Other Info2,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Header_Table.OtherInfo2,AssetSale_OtherInfo_Table.OtherInfo2; ClosingReading_OtherInfo_Table.OtherInfo2; Master_PersonalInfo_Table.OtherInfo2; OpeningReading_OtherInfo_Table.OtherInfo2; PreviousYear_POSPartyDetails_Table.OtherInfo2; Transaction_Header_Table.OtherInfo2,Exact/alias match exists in currently integrated ERP tables.
Other Info,Other Info3,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Header_Table.OtherInfo3,AssetSale_OtherInfo_Table.OtherInfo3; ClosingReading_OtherInfo_Table.OtherInfo3; Master_PersonalInfo_Table.OtherInfo3; OpeningReading_OtherInfo_Table.OtherInfo3; PreviousYear_POSPartyDetails_Table.OtherInfo3; Transaction_Header_Table.OtherInfo3,Exact/alias match exists in currently integrated ERP tables.
Other Info,Other Info4,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Header_Table.OtherInfo4,AssetSale_OtherInfo_Table.OtherInfo4; ClosingReading_OtherInfo_Table.OtherInfo4; Master_PersonalInfo_Table.OtherInfo4; OpeningReading_OtherInfo_Table.OtherInfo4; PreviousYear_POSPartyDetails_Table.OtherInfo4; Transaction_Header_Table.OtherInfo4,Exact/alias match exists in currently integrated ERP tables.
Other Info,Other Info5,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Header_Table.OtherInfo5,AssetSale_OtherInfo_Table.OtherInfo5; ClosingReading_OtherInfo_Table.OtherInfo5; Master_PersonalInfo_Table.OtherInfo5; OpeningReading_OtherInfo_Table.OtherInfo5; PreviousYear_POSPartyDetails_Table.OtherInfo5; Transaction_Header_Table.OtherInfo5,Exact/alias match exists in currently integrated ERP tables.
Transaction Details,Branch,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Header_Table.Branch,Apparel_ReorderLevels_Table.Branch; AssetBookDepreciation_Header_Table.Branch; Assets_GenerateAssetIdsDetails_Table.Branch; AssetStockLedger_Table.Branch; AssetTaxDepreciation_Header_Table.Branch; AssetTypeIDGenerationDetails_Table.Branch; BarcodeText_Table.Branch; BillWiseBalances2020.Branch; billwiseOpeningBalances.Branch; DayEnd_Header_Table.Branch; deleteddutydrawback.Branch; Employee_PaydetailsBySimplePaystructure_Table.Branch,Exact/alias match exists in currently integrated ERP tables.
Transaction Details,Location,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Header_Table.Location; Transaction_ItemBody_Table.Location,Apparel_ReorderLevels_Table.Location; AssetBookDepreciation_Header_Table.Location; Assets_GenerateAssetIdsDetails_Table.Location; AssetStockLedger_Table.Location; AssetTaxDepreciation_Header_Table.Location; AssetTypeIDGenerationDetails_Table.Location; DeliveryPackingListDetails_Table.Location; Employee_PaydetailsBySimplePaystructure_Table.Location; Employee_SimplePaystructureDetails_Table.Location; EmployeeAttendanceDetails_Table.Location; LastYearInformation_Header_Table.Location; Master_Balance_table.Location,Exact/alias match exists in currently integrated ERP tables.
Transaction Details,Location for All,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Header_Table.LocationForAll; Transaction_Header_Table.Location; Transaction_ItemBody_Table.Location,PreviousYear_POSPartyDetails_Table.LocationForAll; Transaction_Header_Table.LocationForAll; Apparel_ReorderLevels_Table.Location; AssetBookDepreciation_Header_Table.Location; Assets_GenerateAssetIdsDetails_Table.Location; AssetStockLedger_Table.Location; AssetTaxDepreciation_Header_Table.Location; AssetTypeIDGenerationDetails_Table.Location; DeliveryPackingListDetails_Table.Location; Employee_PaydetailsBySimplePaystructure_Table.Location; Employee_SimplePaystructureDetails_Table.Location; EmployeeAttendanceDetails_Table.Location,Exact/alias match exists in currently integrated ERP tables.
Transaction Details,UserName,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Header_Table.UserName,ApplicationSettings_Table.UserName; CS_table.UserName; EmailConfiguration_Table.username; MasterRestrictionDetails_Table.UserName; OtherLayouts_table.UserName; POS_Header_Table.UserName; PreviousYear_POSPartyDetails_Table.UserName; QuickMenuItems_Table.UserName; Report_DefaultOptionValues_Table.username; Report_ReportLayouts_table.UserName; ReportOptionsDefaultValues_Table.UserName; ScheduleEmailConfiguration_Table.username,Exact/alias match exists in currently integrated ERP tables.
Transaction Details,Executive,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Header_Table.Executive,AutoCRM_EnquiryFollowUpDetails_Table.Executive; BillWiseBalances2020.Executive; billwiseOpeningBalances.Executive; customerandexecutivetable.Executive; DebtorsAddressToImport.Executive; Exec_Details_Table.Executive; LastYearCreditorBalances.Executive; LastYearInformation_Header_Table.Executive; Master_Preferences_Table.Executive; Master_Preferences_Tablebak.Executive; OldYearCreditorsBillWiseBalances.Executive; PreviousYear_POSPartyDetails_Table.Executive,Exact/alias match exists in currently integrated ERP tables.
